BAU1876,skoda,start,05-Nov-01,578.65,FALSE
BAU3353,renault,phrase,22-Mar-14,283.23,FALSE
BAU7833,skoda,train,27-Sep-03,1204.14,FALSE
BBI1850,skoda,own,01-Nov-14,702.41,FALSE
BBI1859,daewoo,trip,05-Jan-18,144.76,FALSE
BBI5067,bmw,property,13-Mar-19,1210.31,FALSE
BHA6444,saab,living,01-Mar-06,241.14,FALSE
BHA8435,skoda,horn,15-Aug-18,681.71,FALSE
BHA9302,volvo,sun,21-May-00,333.77,FALSE
BI10150,opel,particles,13-Apr-15,451.26,FALSE
BI11354,volkswagen,equal,15-Nov-05,1444.39,FALSE
BI21534,fiat,dead,18-Feb-21,607.64,FALSE
BI22623,opel,afraid,11-Nov-20,681,FALSE
BI23405,peugeot,gas,26-May-02,757.93,FALSE
BI45035,mercedes,explain,08-Jan-13,1102.7,FALSE
BI87252,opel,know,20-Jun-02,186.89,FALSE
BI89040,fiat,power,04-Feb-19,574.66,FALSE
BI89895,skoda,zero,11-Jan-16,669.92,FALSE
BIA1274,mazda,perfectly,03-Mar-08,1298.2,FALSE
BIA2471,peugeot,should,19-Jul-07,1403.71,FALSE
BIA9349,daewoo,spread,31-Aug-06,1259.65,FALSE
BL24933,skoda,soft,08-Mar-03,861.85,FALSE
BL29225,mercedes,plural,08-Jun-13,661.12,FALSE
BL32674,skoda,bare,17-Oct-02,216.09,FALSE
BL79493,renault,buffalo,08-Apr-04,153.9,FALSE
BL80265,honda,operation,10-Oct-18,493.28,FALSE
BL83185,renault,has,18-Oct-07,1082.53,FALSE
BL84925,fiat,mostly,13-Mar-02,127.77,FALSE
BL91427,opel,frequently,20-Sep-16,803.57,FALSE
BL91473,opel,pie,25-Nov-02,372.39,FALSE
BMN2493,renault,slide,09-May-17,187.68,FALSE
BMN8263,seat,someone,28-Aug-10,1499.15,FALSE
BMN9775,fiat,cutting,01-Nov-18,804.02,FALSE
BSI5910,daewoo,corn,11-Jun-06,182.81,FALSE
BSI6710,audi,tired,06-Oct-18,794.7,FALSE
BSI7373,skoda,steel,23-Jul-02,1478.89,FALSE
BSK1960,peugeot,hall,15-Apr-06,244.11,FALSE
BSK2660,bmw,adventure,04-Feb-04,1422.45,FALSE
BSK3727,renault,rapidly,14-Mar-03,922.92,FALSE
BSK4473,volvo,angle,22-Mar-07,380.2,FALSE
BSK4797,opel,sense,15-Jul-20,623.66,FALSE
BSK5893,skoda,halfway,14-Aug-12,146.82,FALSE
